user_address,LVbag,Paid_Users,Puzzle,LV Airdrop
0x8b1288d2b2e357d80ef8e01b1880d01f601e0917,836.33,29497.0,19790.0,50123.33
0xe75581c7efd17aff1aa2a13ab94d11ac7570be67,836.33,3084.0,1251.0,5171.33
0x6dc4651c4799b8b012c525020e2eb7b087cd5167,836.33,102.0,0.0,938.33
0x97d84361104152305ca89bd94bcb5a489aa23b87,836.33,9459.0,4789.0,15084.33
0x3211524357aaa4eac8b6af450e7e9713aa5eeb86,836.33,65.0,478.0,1379.33
0x381f0f06fd1796b73a88f4d637960c12856a1ba0,836.33,6770.0,0.0,7606.33
0x7c945b48b0bbb207577f1d4e183b8fda377483da,836.33,10931.0,0.0,11767.33
0x23841cfb5daf7eb2ad840587ccd84f1498cebe39,836.33,6400.0,1995.0,9231.33
0xd59c846d29f0773a4b206c5d84e794ce079c4f9d,836.33,6351.0,638.0,7825.33
0x3e2f18e12fa3de657ce80e603ebd120443d77523,836.33,650.0,0.0,1486.33
0x726434a7dd332b580bba133ca287872ac5a4d882,836.33,90.0,0.0,926.33
0x77a8f1e86804176f3c79661333e680d6d8c9a084,836.33,326.0,0.0,1162.33
0x255ec4a7dfefeed4889dbeb03d7ac06adccc2d24,836.33,41280.0,0.0,42116.33
0xe1b3264a2257247f8ba175395c564ed9e364ff4d,836.33,2599.0,0.0,3435.33
0xdc448d92f6694e10c97c8b1623f69ab52fcdbb81,836.33,1203.0,22.0,2061.33
0xf1442bd38022d93cc5ac5bcb11d41124c76295c8,836.33,644.0,0.0,1480.33
0xcae2e56e83a8da68a97fc735a22be3127505b093,836.33,79.0,0.0,915.33
0xa6a89eb48bc63ac54ac5b24486c1b15f8dc16ff0,836.33,76.0,0.0,912.33
0x75d62f17e4d341e34ef5596146c774cac3ddcfd4,836.33,130.0,1596.0,2562.33
0x2c8770affcf029f4b62988817aa09ecedcaff30d,836.33,59.0,0.0,895.33
0x3ee27ab9464d932dc107a1fb38b8bd4e28f2802f,836.33,56.0,0.0,892.33
0xb7897f6271ad6d2d3857f61baae7dda760c88bb0,836.33,3255.0,0.0,4091.33
0xf8c5eabb6c415161d801b1cb5d0c0b33b336329a,836.33,13083.0,913.0,14832.33
0x72c3c84d38ca5e3fed8e6498dba56902da62dbf5,836.33,56.0,0.0,892.33
0xa2d004db6f3494eea61b4ca88b3ee0c0c5973330,836.33,317.0,0.0,1153.33
